Date,WHSCC_Staff_N1,WHSCC_Staff_N2,WHSCC_NIC_E_N1,WHSCC_NIC_E_N2,WHSCC_NIC_E_N3,WHSCC_NIC_E_N4,WHSCC_NIC_E_N5,WHSCC_NIC_E_N6,WHSCC_NIC_E_N7,WHSCC_NIC_E_N8,WHSCC_NIC_E_N9,WHSCC_NIC_E_N10,WHSCC_NIC_E_N11,WHSCC_NIC_E_N12,WHSCC_NIC_N_N1,WHSCC_NIC_N_N2,WHSCC_NIC_N_N3,WHSCC_NIC_N_N4,WHSCC_NIC_N_N5,WHSCC_NIC_N_N6,WHSCC_NIC_N_N7,WHSCC_NIC_N_N8,WHSCC_NIC_N_N9,WHSCC_NIC_N_N10,WHSCC_NIC_N_N11,WHSCC_NIC_PoB_N1,WHSCC_NIC_PoB_N2,WHSCC_NIC_PoB_N3,WHSCC_NIC_PoB_N4,WHSCC_NIC_PoB_N5,WHSCC_NIC_PoB_N6,WHSCC_NIC_PoB_N7,WHSCC_NIC_PoB_N8,WHSCC_NIC_PoB_N9,WHSCC_NIC_PoB_N10,WHSCC_NIC_S_N1,WHSCC_NIC_S_N2,WHSCC_NIC_S_N3,WHSCC_NIC_S_N4,WHSCC_NIC_S_N5,WHSCC_NIC_S_N6,WHSCC_NIC_S_N7,WHSCC_NIC_S_N8,WHSCC_NIC_S_N9,WHSCC_NIC_S_N10,WHSCC_NIC_S_N11,WHSCC_NIC_S_N12,WHSCC_NIC_L_N1,WHSCC_NIC_L_N2,WHSCC_NIC_L_N3,WHSCC_NIC_L_N4,WHSCC_NIC_L_N5,WHSCC_NIC_L_N6,WHSCC_NIC_L_N7,WHSCC_NIC_L_N8,WHSCC_NIC_L_N9,WHSCC_NIC_L_N10,WHSCC_NIC_ST_N1,WHSCC_NIC_ST_N2,WHSCC_NIC_ST_N3,WHSCC_NIC_ST_N4,WHSCC_NIC_ST_N5,WHSCC_NIC_ST_N6,WHSCC_NIC_SC_N1,WHSCC_NIC_SC_N2,WHSCC_NIC_SC_N3,WHSCC_NIC_SC_N4,WHSCC_NIC_SC_N5,WHSCC_NIC_TE_N1,WHSCC_NIC_TE_N2,WHSCC_NIC_TE_N3,WHSCC_NIC_TE_N4,WHSCC_NIC_TE_N5,WHSCC_NIC_TE_N6,WHSCC_NIC_HiS_N1,WHSCC_NIC_HiS_N2,WHSCC_NIC_HiS_N3,WHSCC_NIC_HiS_N4,WHSCC_NIC_LoS_N1,WHSCC_NIC_ LoS_N2,WHSCC_NIC_ LoS_N3,WHSCC_NIC_ LoS_N4,WHSCC_NIC_WSS_N1,WHSCC_NIC_WSS_N2,WHSCC_NIC_LT_N1,WHSCC_NIC_LT_N2,WHSCC_NIC_RoI_N1,WHSCC_NIC_RoI_N2,WHSCC_AC_Total,WHSCC_AC_AvgCC,WHSCC_AC_CpBDayR,WHSCC_AC_CDpBDayR,Fin_CpBDay_Total,Fin_PH_N1,Fin_PH_N2,Fin_PH_N3,Fin_PH_N4,Fin_PH_N5,Fin_PH_N6,Fin_CSDpBDay_N1,Fin_CSDpBDay_N2,Fin_CSDpBDay_N3,Fin_CSDpBDay_N4,Fin_CSDpBDay_N5,Fin_CSDpBDay_N6,Fin_CSDpBDay_N7,Fin_CSDpBDay_N8,Fin_CSDpBDay_N9,Vol_Hours,Comments
112004,0,10,7,0,4,14,5,5,4,15,1,12,12,15,2,0,5,2,0,4,1,3,1,3,2,4,4,7,7,4,6,5,6,7,6,5,18,18,4,2,2,15,13,7,16,2,2,10,9,8,5,0,10,8,2,2,5,6,5,9,0,0,1,4,7,7,10,6,5,4,4,3,1,5,1,5,3,3,6,5,4,5,1,15,13,5,2,12,22,$529.00,0.81,$290.00,$676.00,"5,033","9,342","1,093","9,930","4,492","3,823","$6,905.00","$6,712.00","$17,681.00","$6,731.00","$5,070.00","$14,728.00","$3,294.00","$10,123.00","$7,632.00","4,273",Comment text to 300 characters
122004,11,5,2,13,14,7,7,9,15,1,7,1,9,4,0,4,1,0,0,2,1,3,5,2,1,2,6,5,6,4,6,6,5,6,6,9,10,12,2,10,19,16,16,0,14,14,13,4,9,7,3,8,10,5,9,3,3,8,2,8,7,7,8,0,3,0,6,1,0,5,0,4,5,4,1,3,5,0,5,5,6,1,7,10,9,8,8,0,2,$34.00,0.33,$915.00,$702.00,785,995,"4,538","8,835","9,417",921,"$15,432.00","$13,008.00","$16,447.00","$17,902.00","$9,185.00","$3,924.00","$8,948.00","$16,193.00","$15,472.00","4,841",Comment text to 300 characters
12005,3,2,10,8,10,15,5,12,2,15,6,11,0,15,10,2,4,3,5,4,0,2,5,2,5,0,7,5,4,7,6,7,7,7,5,10,5,12,2,20,20,12,10,17,19,12,5,0,0,6,7,3,9,9,4,7,10,9,9,0,8,0,0,4,1,9,4,4,3,0,6,1,3,6,2,3,3,2,3,4,2,4,8,0,13,3,4,10,21,"$2,414.00",0.36,"$1,280.00",$777.00,"4,302","5,368",868,"3,895","6,821","3,890","$7,675.00","$17,030.00","$7,934.00","$20,008.00","$3,521.00","$5,603.00","$16,415.00","$4,366.00","$7,058.00","6,798",Comment text to 300 characters
22005,7,15,11,13,5,15,11,7,3,14,5,6,14,3,14,0,5,0,2,3,3,0,5,2,1,1,6,5,5,6,6,6,4,7,5,9,2,9,2,5,1,17,10,14,7,19,16,3,9,8,8,7,10,1,4,0,4,0,3,6,1,9,9,1,6,5,4,8,6,2,0,6,2,4,3,1,5,4,6,2,1,3,6,7,13,2,0,2,15,"$2,266.00",0.55,"$1,246.00","$1,114.00","6,660","5,324",877,"6,997","6,755","6,179","$8,384.00","$6,852.00","$11,071.00","$5,417.00","$11,805.00",$265.00,"$14,864.00","$2,010.00","$6,363.00","3,556",Comment text to 300 characters
32005,12,4,0,11,0,3,5,8,11,1,3,10,14,0,14,3,3,4,5,0,3,0,0,4,3,1,5,5,5,7,6,5,5,6,7,18,15,8,18,8,5,13,14,8,1,7,10,3,5,7,7,1,4,1,1,6,2,4,7,3,1,10,3,4,2,3,2,10,6,6,3,3,3,6,5,4,2,2,1,2,0,1,7,0,14,4,14,8,24,"$2,335.00",0.12,"$1,513.00","$1,177.00","7,116","4,929","5,599","8,362","5,383",637,"$18,417.00","$11,681.00","$5,114.00","$9,913.00","$16,076.00","$6,189.00","$15,135.00","$13,081.00","$12,955.00","9,963",Comment text to 300 characters
42005,14,15,14,15,8,3,7,10,4,6,15,1,14,9,10,3,5,1,5,3,5,5,0,2,0,0,4,4,4,5,7,4,5,6,5,17,8,20,4,10,8,18,4,12,10,1,20,9,2,6,0,3,8,7,1,3,7,2,8,0,6,1,1,9,0,6,8,5,6,4,1,1,5,1,5,4,2,0,1,4,3,1,6,13,8,3,11,7,19,"$2,330.00",0.83,$536.00,"$2,224.00",912,"6,141","4,172","9,377","4,702","4,730","$4,851.00","$6,578.00","$15,688.00","$9,003.00","$1,411.00","$4,247.00",$820.00,"$1,168.00","$2,934.00","8,203",Comment text to 300 characters
52005,3,12,9,9,14,12,13,7,3,10,6,7,1,15,9,0,1,2,3,5,0,2,5,1,3,4,7,5,6,6,5,4,4,4,5,12,10,15,8,3,16,7,15,2,6,15,17,0,6,3,1,7,4,3,9,8,1,6,5,0,1,7,8,7,8,6,9,10,2,3,1,5,4,1,5,5,3,6,1,1,1,2,4,3,14,9,10,6,16,$509.00,0.57,$411.00,"$1,205.00","6,609","1,520","7,744","6,818","5,523","2,022","$19,079.00","$14,160.00","$14,418.00","$14,722.00","$7,703.00","$14,531.00","$3,033.00","$16,132.00","$8,843.00","3,003",Comment text to 300 characters
62005,3,4,13,14,14,11,14,6,0,4,2,8,3,14,14,3,1,3,4,4,0,1,2,2,4,1,6,5,4,5,6,7,6,6,6,0,3,20,16,10,4,8,14,3,9,17,18,8,3,7,5,3,8,6,6,8,3,10,9,5,0,3,1,2,0,3,0,2,1,1,3,4,4,4,3,6,2,1,2,4,4,3,15,2,0,9,15,7,23,$936.00,1.00,$761.00,$679.00,"3,092","7,102",816,"8,446","2,276","5,960","$7,998.00","$6,326.00","$4,735.00","$11,976.00","$13,582.00","$8,592.00","$9,080.00","$5,089.00","$15,117.00","4,100",Comment text to 300 characters
72005,8,2,9,14,5,4,12,4,14,3,9,6,2,0,15,5,5,2,0,0,2,1,2,3,0,5,7,4,7,7,6,6,6,7,4,2,7,8,2,19,3,3,4,3,9,12,5,4,0,0,9,9,7,3,2,5,3,2,8,5,0,9,5,3,5,6,1,9,0,0,4,0,1,6,4,4,6,3,0,1,3,3,4,3,4,5,6,14,9,"$1,296.00",0.02,"$1,015.00","$1,093.00","3,459","7,646","4,789","3,180","7,756",40,"$4,656.00","$3,510.00","$5,446.00","$19,301.00","$16,564.00","$5,924.00","$13,939.00","$15,381.00","$20,363.00",797,Comment text to 300 characters
82005,1,6,10,0,7,12,6,11,3,8,4,8,3,10,6,0,4,2,1,0,2,4,2,5,0,0,6,6,4,4,4,5,7,6,4,12,6,4,13,2,13,12,6,9,14,8,9,5,6,6,8,4,9,6,5,3,9,2,10,10,3,0,4,0,8,9,8,3,3,5,0,4,2,2,3,4,6,0,6,1,4,6,4,13,10,9,5,7,9,"$2,100.00",0.74,$187.00,"$2,081.00","5,179","3,380","5,393","6,698","5,810","4,949","$9,204.00","$16,204.00","$8,630.00","$5,553.00",$919.00,"$14,338.00","$6,951.00","$20,282.00","$7,080.00","8,865",Comment text to 300 characters
92005,11,11,10,7,8,14,6,8,4,7,1,7,1,0,1,2,3,0,3,0,3,1,1,5,0,2,7,7,4,5,7,4,7,6,4,11,8,8,18,0,0,0,18,10,20,11,10,5,6,0,9,3,7,2,10,1,9,8,5,4,10,2,10,4,7,0,3,5,5,5,2,0,2,5,5,2,4,5,3,1,1,3,14,6,3,10,12,11,0,$130.00,0.57,"$2,403.00","$1,614.00","3,911","8,650","5,744","9,381","2,055","3,467","$3,001.00","$14,392.00","$17,272.00","$7,742.00","$13,772.00","$16,155.00","$7,983.00","$10,237.00","$16,585.00","4,785",Comment text to 300 characters
102005,5,2,8,4,2,14,10,3,3,2,0,5,7,15,9,1,3,1,0,3,5,5,5,1,0,1,5,5,4,6,4,4,5,5,7,17,4,8,3,4,4,0,6,2,12,1,3,4,3,5,7,10,2,8,4,0,0,8,9,6,10,5,1,2,6,3,9,5,5,6,2,4,5,2,0,4,1,6,1,1,2,5,14,11,15,2,7,3,22,"$1,615.00",0.06,"$2,137.00","$1,144.00","5,702","7,019",469,"4,236","7,016","2,043","$2,342.00","$19,335.00","$19,036.00","$11,508.00","$18,687.00",$788.00,"$5,485.00","$11,429.00","$5,330.00","4,335",Comment text to 300 characters
112005,2,2,12,12,15,12,11,1,14,7,12,10,5,7,10,0,4,1,5,2,1,1,0,2,4,0,4,4,6,7,4,7,7,6,5,12,13,9,19,10,20,7,13,18,0,19,0,10,10,1,10,10,5,0,10,0,7,10,7,6,7,7,7,0,8,8,7,6,6,5,6,4,1,4,3,0,6,4,5,6,6,2,1,6,12,14,4,11,17,"$1,967.00",0.95,"$2,184.00","$2,136.00","3,303","6,730","8,094","6,202","3,308","2,543","$15,328.00","$4,333.00","$12,467.00","$3,738.00","$2,501.00","$4,322.00",$79.00,$47.00,"$9,676.00","9,719",Comment text to 300 characters
122005,5,10,2,3,10,13,5,9,15,10,12,5,15,11,8,0,3,1,1,0,2,2,1,3,0,1,6,6,6,5,6,7,7,4,5,3,3,19,3,7,6,3,2,10,10,17,12,4,7,6,9,7,4,5,9,6,1,6,3,5,2,6,9,1,2,3,0,0,1,2,5,2,3,1,3,0,1,6,2,2,3,5,15,14,1,1,3,14,10,"$1,155.00",0.44,$839.00,$900.00,"9,260","6,423","7,826","8,658","9,810","3,358","$16,994.00","$18,397.00","$9,072.00","$9,151.00","$20,500.00","$5,300.00","$4,816.00","$14,975.00","$17,691.00","5,587",Comment text to 300 characters
12006,8,12,15,13,12,13,0,9,3,2,10,12,0,2,7,2,3,2,4,5,3,4,3,5,1,0,7,6,4,6,7,5,4,6,5,8,2,2,9,2,13,19,8,0,12,13,17,7,2,9,1,2,7,4,2,0,1,8,8,6,5,7,0,8,9,9,0,2,6,2,6,5,6,6,5,0,6,3,4,5,6,3,5,0,13,3,13,7,5,"$1,776.00",0.68,$64.00,"$2,379.00","9,583","9,631","7,323","4,292","8,083","8,489","$4,586.00","$10,628.00","$5,695.00","$9,905.00",$834.00,"$2,946.00","$13,221.00","$15,512.00","$16,052.00","5,475",Comment text to 300 characters
22006,15,13,9,1,7,8,3,13,13,6,9,10,2,14,5,1,4,1,5,4,3,1,5,5,5,1,6,7,5,5,7,7,5,4,5,12,3,13,20,11,17,16,19,16,8,4,9,7,9,10,5,4,7,0,9,0,9,6,4,0,10,1,8,5,3,6,2,5,0,6,1,0,3,4,0,4,5,2,0,1,4,2,7,15,1,13,8,15,13,"$1,599.00",0.25,"$1,934.00",$766.00,"2,251",866,368,"7,639","3,506","6,819","$6,652.00","$3,635.00","$17,663.00","$5,294.00","$9,137.00","$12,649.00","$16,909.00","$17,764.00","$1,146.00","3,669",Comment text to 300 characters
32006,9,3,5,15,1,11,2,12,14,11,1,9,11,9,4,1,4,3,5,3,0,1,0,3,5,0,7,6,6,5,5,5,7,4,6,9,1,12,20,17,11,2,15,11,17,0,10,10,3,7,6,4,4,8,5,7,3,3,4,4,2,3,2,10,9,6,9,8,6,6,0,5,6,1,5,3,1,4,3,0,5,1,5,1,7,1,10,4,23,"$1,489.00",0.55,"$1,186.00","$1,073.00","8,727","4,462",898,298,"6,946","6,363","$8,452.00","$18,327.00","$15,965.00","$2,503.00","$9,473.00","$19,026.00","$1,924.00","$2,534.00","$4,920.00","9,888",Comment text to 300 characters
42006,0,9,5,3,4,0,13,13,13,10,9,4,4,0,15,4,0,1,4,1,1,5,4,0,3,5,6,7,5,4,7,4,6,6,5,14,5,12,2,9,5,2,2,8,13,17,6,7,7,0,10,9,1,2,9,7,7,1,4,7,2,7,8,7,7,8,5,5,1,1,2,3,2,4,2,6,6,3,5,1,3,4,1,1,7,5,0,14,2,"$1,929.00",0.12,"$2,234.00","$1,615.00","9,701","4,556","5,096","1,210",815,175,"$2,452.00","$6,969.00","$8,260.00",$624.00,"$8,786.00","$10,520.00","$15,769.00","$9,238.00","$9,088.00","3,476",Comment text to 300 characters
52006,2,13,12,2,15,9,3,8,0,14,2,0,8,10,0,1,3,0,4,1,2,3,1,5,5,0,7,6,5,7,5,4,4,6,5,6,9,0,15,8,2,2,2,2,4,14,11,0,10,3,6,5,10,9,5,0,8,2,1,8,6,0,6,2,9,6,0,0,0,3,5,6,6,5,0,4,4,1,0,2,0,2,3,10,7,5,1,8,5,$877.00,0.74,"$1,754.00","$1,708.00","7,441","8,827","2,725","1,218","3,828","9,143",$484.00,"$11,951.00","$19,462.00","$5,328.00","$2,906.00","$18,677.00","$9,170.00",$797.00,"$11,672.00",725,Comment text to 300 characters
62006,11,5,2,9,3,7,12,12,14,12,10,10,4,3,1,3,0,2,5,4,3,4,5,4,1,0,7,5,5,6,7,5,4,6,6,16,16,10,7,18,6,13,5,4,12,5,0,9,10,0,1,5,8,10,7,10,10,3,6,6,7,6,6,2,1,8,1,7,6,0,0,2,4,5,0,2,2,1,3,6,6,3,2,9,1,7,14,7,5,"$2,463.00",0.00,"$1,562.00","$2,460.00","7,733","6,621","9,845","5,602","2,527","7,272","$14,096.00","$15,338.00","$16,485.00","$17,427.00","$13,515.00","$14,577.00","$14,489.00","$18,075.00","$6,765.00","7,797",Comment text to 300 characters
72006,5,3,12,13,15,1,0,2,1,3,7,2,3,7,8,3,2,1,2,0,1,1,0,0,5,4,4,5,6,4,7,6,6,6,6,10,1,13,13,19,3,17,1,1,1,14,5,5,1,6,3,1,1,7,5,0,7,2,10,5,2,6,7,9,8,2,9,1,1,4,0,0,1,3,5,3,4,5,6,5,2,2,12,9,12,13,6,2,15,$272.00,0.53,"$1,881.00",$637.00,"4,513","9,282","6,899","9,571",403,"1,861","$14,142.00","$17,034.00","$2,709.00","$7,242.00","$11,298.00",$659.00,"$1,017.00","$13,302.00","$7,617.00","9,199",Comment text to 300 characters
82006,14,14,12,5,5,2,14,15,8,12,15,4,0,13,15,4,2,1,2,3,1,2,3,0,1,0,5,4,5,5,6,5,4,5,4,4,13,5,1,12,10,16,9,10,11,4,15,9,0,6,3,3,1,9,1,7,0,6,6,7,6,8,8,7,10,4,4,5,5,5,4,1,2,0,2,2,3,3,3,2,6,3,4,4,3,14,1,12,7,"$1,701.00",0.02,$859.00,"$2,244.00","7,838","7,038","6,200","1,467","7,555","4,407","$8,454.00","$8,350.00","$11,869.00","$1,549.00","$16,835.00","$2,305.00","$18,671.00","$16,952.00","$19,854.00","4,634",Comment text to 300 characters
92006,14,12,13,15,0,5,9,1,10,5,3,15,0,2,8,5,1,5,3,4,1,4,3,5,3,4,7,6,4,4,5,5,5,4,7,1,14,3,3,7,20,7,17,18,0,18,8,4,4,2,7,7,4,4,9,8,1,2,0,5,10,6,5,1,3,10,7,8,5,2,5,5,4,4,1,1,4,1,3,2,6,0,5,14,5,12,9,14,14,"$2,011.00",0.43,"$1,634.00",$588.00,"2,805","6,568","7,218","3,294","3,916","4,584","$6,956.00","$14,475.00","$14,140.00","$1,685.00","$4,160.00","$19,247.00","$18,964.00","$1,214.00","$6,989.00","2,807",Comment text to 300 characters
102006,8,1,3,14,13,8,8,10,11,12,4,8,14,11,4,0,3,1,2,4,2,5,3,4,4,3,4,5,5,5,6,6,5,4,7,14,4,10,4,7,0,7,13,4,20,3,18,4,1,7,8,4,6,10,6,5,2,6,7,5,5,9,7,1,1,8,1,1,3,0,2,4,4,0,2,0,1,2,0,5,2,2,1,9,4,15,3,4,12,"$1,188.00",0.06,$313.00,$247.00,"6,456","4,606","5,568","5,149","3,409",945,"$5,063.00","$12,954.00","$9,066.00","$6,641.00","$11,036.00","$3,592.00","$16,578.00","$3,529.00","$19,775.00","9,604",Comment text to 300 characters
112006,8,14,14,6,3,14,2,4,8,12,4,6,6,2,14,4,1,0,0,3,4,2,3,4,1,2,5,6,4,4,4,5,7,6,7,4,6,14,19,17,9,8,3,15,19,13,18,8,5,2,7,5,5,10,6,9,5,8,3,8,6,10,10,5,6,6,8,5,1,3,3,1,5,4,0,6,3,4,3,6,1,4,14,2,1,12,6,6,17,$520.00,0.74,"$2,229.00","$2,166.00","6,748","5,307","4,173","7,415","9,510","2,406","$20,021.00","$4,285.00","$18,910.00","$13,241.00","$20,204.00","$10,092.00",$486.00,"$17,186.00","$14,815.00","2,825",Comment text to 300 characters
122006,4,14,10,2,12,10,3,2,0,5,8,3,14,8,7,5,0,5,0,1,1,4,2,3,0,0,5,5,6,4,7,5,6,7,6,8,2,11,17,7,14,18,10,3,0,1,0,0,9,4,8,0,1,0,9,2,10,2,3,6,1,1,9,1,4,8,6,1,3,3,1,2,5,0,2,6,4,0,2,5,5,4,12,13,1,1,10,13,6,"$1,710.00",0.50,"$1,191.00","$1,657.00","2,361",570,"1,904","7,695","1,437","7,097","$4,296.00","$6,902.00","$12,864.00","$6,006.00","$19,182.00","$9,938.00","$5,088.00","$16,245.00","$4,839.00","7,700",Comment text to 300 characters
12007,1,11,15,15,4,12,7,13,9,12,0,4,7,2,14,0,0,2,2,3,3,2,0,4,2,0,5,5,7,4,7,6,4,7,4,10,14,10,1,6,6,20,20,20,1,10,9,5,10,2,6,1,3,7,1,9,6,7,4,9,8,9,2,10,3,10,10,6,0,3,1,4,1,5,2,6,0,4,6,4,1,1,11,4,10,1,13,9,25,"$2,410.00",0.55,"$2,344.00","$2,232.00","1,344","5,529","3,291","2,892","6,345","7,238","$15,527.00","$13,744.00","$10,961.00","$14,299.00","$9,853.00","$1,665.00","$8,531.00","$14,853.00","$18,015.00","5,024",Comment text to 300 characters
22007,9,4,13,15,12,12,1,10,3,6,13,7,8,5,1,2,1,3,3,3,5,5,3,1,1,0,5,5,6,5,6,5,7,4,7,18,5,14,18,7,3,1,12,2,10,17,8,4,4,0,8,4,10,3,4,7,4,7,10,8,10,5,4,6,1,2,0,0,1,4,4,2,0,0,0,5,6,0,0,0,1,3,14,1,0,3,10,13,22,"$1,415.00",0.34,$654.00,"$1,720.00","2,321","3,361","9,262","9,144",872,"9,277","$14,896.00","$7,891.00","$6,936.00","$16,234.00","$19,777.00","$9,055.00","$17,573.00","$18,316.00","$11,598.00","8,689",Comment text to 300 characters
32007,3,2,8,0,5,15,14,9,14,12,6,5,11,5,14,2,2,1,4,0,0,2,4,5,1,4,5,4,7,7,4,4,6,7,6,20,6,8,3,8,9,15,14,16,14,10,12,0,8,5,1,9,4,8,1,10,3,7,8,3,6,9,3,8,9,8,3,0,0,3,2,3,5,5,5,2,4,0,0,0,0,3,0,8,0,9,7,14,25,$423.00,0.84,"$2,493.00",$181.00,"2,328","9,795","1,436","2,743","2,605","5,846","$8,828.00","$10,667.00",$736.00,"$11,697.00","$14,849.00","$10,618.00","$5,375.00","$14,884.00","$17,239.00","6,276",Comment text to 300 characters
42007,6,4,8,3,4,14,0,6,1,8,3,1,15,11,13,5,2,1,2,0,2,4,3,1,1,5,6,5,6,7,7,7,7,6,4,5,10,1,0,2,18,12,15,1,0,7,1,1,0,4,5,7,2,5,0,9,6,10,2,10,10,10,5,5,10,7,3,2,0,2,0,6,4,6,2,5,5,0,2,5,3,0,9,3,10,1,9,8,20,"$2,186.00",0.55,"$1,701.00","$2,344.00",913,"8,311","6,014","2,311",473,"7,905","$16,120.00","$17,379.00","$10,922.00","$16,366.00","$18,226.00","$10,243.00",$907.00,"$8,976.00","$8,800.00","3,864",Comment text to 300 characters
52007,6,6,12,1,1,6,9,1,5,9,12,3,6,4,2,4,4,2,0,4,1,0,5,4,5,2,6,7,5,4,4,5,7,5,5,8,16,11,1,8,20,7,14,16,4,14,0,7,9,4,6,5,3,7,8,7,3,8,8,5,9,1,4,4,10,10,8,4,3,3,3,0,3,4,0,4,6,3,6,4,4,5,10,10,4,1,2,7,9,"$1,326.00",0.48,"$2,037.00","$1,694.00","1,251","2,469","2,205","4,928","1,633","2,531","$5,657.00","$9,581.00","$16,198.00","$18,341.00","$14,450.00","$5,160.00","$1,334.00","$16,270.00","$8,777.00","7,369",Comment text to 300 characters
62007,6,14,7,4,4,3,3,3,13,11,13,14,9,9,4,4,3,4,4,4,5,3,1,3,5,2,7,7,4,5,4,5,4,5,5,11,1,3,2,5,3,0,18,2,11,6,19,1,7,8,5,2,5,0,3,0,4,4,8,6,6,7,4,9,7,2,5,9,5,6,0,6,6,1,3,0,1,0,0,1,2,3,0,14,10,9,13,14,15,"$1,125.00",0.06,"$1,198.00","$2,424.00","3,123",251,39,"5,051","5,333","5,916","$1,709.00","$17,314.00","$13,483.00","$18,160.00","$3,450.00","$8,185.00","$7,351.00","$3,516.00","$17,140.00","8,886",Comment text to 300 characters
72007,13,10,8,9,11,14,7,15,13,6,0,8,9,8,15,4,0,2,1,4,4,3,5,5,4,0,4,5,5,4,4,5,5,7,5,2,7,8,1,4,8,11,5,2,16,2,14,1,10,1,9,3,8,6,10,10,8,5,6,3,0,7,7,9,8,1,7,10,2,1,3,6,5,6,6,3,4,6,2,5,6,3,2,13,6,5,11,14,20,$993.00,0.44,"$1,867.00","$2,159.00","5,481","6,760","8,834","8,426",247,"7,056","$18,136.00","$16,487.00","$8,341.00","$15,844.00","$6,975.00","$3,994.00","$7,871.00","$13,473.00","$1,822.00","1,910",Comment text to 300 characters
82007,13,15,0,15,12,3,1,13,14,6,10,1,4,11,11,0,3,1,5,4,5,3,4,4,0,1,4,5,4,4,5,5,5,5,5,14,14,1,15,10,11,13,17,2,2,16,6,1,6,10,6,7,2,2,9,10,0,9,7,10,1,8,5,1,4,0,9,0,0,5,5,2,2,0,6,3,5,2,3,2,2,0,9,7,9,6,2,5,17,$855.00,0.23,$214.00,"$2,450.00","5,072","8,875","9,132","9,352","5,242","9,085","$20,150.00","$14,153.00","$13,007.00","$3,819.00","$11,888.00","$8,869.00","$16,249.00","$4,083.00","$6,148.00","8,062",Comment text to 300 characters
92007,1,10,1,12,13,6,10,15,7,3,1,12,14,9,9,4,2,4,1,4,2,1,5,3,4,4,7,6,6,5,5,7,5,4,5,2,8,7,14,16,10,12,18,11,14,18,2,3,1,7,7,0,0,3,6,8,5,9,1,8,7,5,4,0,3,7,3,4,5,0,0,6,2,3,1,0,6,0,4,3,0,3,0,6,12,10,12,7,1,"$1,822.00",0.14,$311.00,"$2,195.00","9,356","1,283","6,480","6,920","3,510","5,194","$13,757.00","$9,809.00","$6,732.00","$11,211.00","$4,208.00","$9,122.00","$10,278.00","$4,405.00","$13,118.00","1,652",Comment text to 300 characters
102007,15,14,9,13,6,0,11,8,9,10,7,6,9,3,5,1,3,3,5,5,2,2,0,1,3,5,5,6,6,7,6,6,6,6,4,16,11,11,8,4,18,14,14,3,18,20,8,9,3,3,7,1,1,5,8,3,9,7,8,1,7,6,2,6,10,0,8,2,2,4,3,0,6,2,0,0,3,1,3,3,3,5,7,14,10,9,1,12,12,"$1,105.00",0.29,$515.00,"$1,905.00","1,902","1,957","8,340","6,269","6,340","8,868","$14,048.00","$19,011.00","$4,423.00","$5,891.00","$2,983.00","$10,840.00","$9,134.00","$10,859.00","$14,509.00","1,667",Comment text to 300 characters
112007,10,0,7,6,15,15,2,9,0,9,9,6,0,3,7,4,5,4,1,3,4,2,2,2,3,0,4,5,4,7,5,4,4,5,7,10,13,2,16,1,5,1,15,18,11,9,7,10,4,7,2,7,8,8,9,8,7,1,3,8,0,6,6,4,1,5,1,4,6,0,3,3,5,1,0,2,0,2,6,4,2,0,15,5,15,10,1,12,8,$843.00,0.13,"$1,548.00","$1,247.00","2,541","7,590","7,116","4,771","9,022","7,187","$8,842.00","$17,059.00","$4,247.00","$15,703.00","$14,974.00","$14,245.00","$12,930.00","$1,717.00","$4,586.00",458,Comment text to 300 characters
122007,14,9,14,5,5,10,2,9,1,6,9,14,1,8,9,5,1,1,0,0,0,2,4,0,0,4,7,7,6,7,7,5,5,7,5,5,11,5,11,5,13,0,18,8,12,5,4,8,9,5,2,3,0,2,10,5,8,6,5,1,8,9,9,0,6,7,6,2,2,6,2,0,4,0,5,0,1,2,5,0,1,3,1,5,1,0,10,6,11,$964.00,0.95,$479.00,$980.00,"7,315","7,064","7,051","4,007","9,432","2,096","$1,669.00","$2,859.00","$10,986.00","$10,876.00","$18,763.00","$10,508.00","$18,297.00","$9,766.00","$14,716.00","8,821",Comment text to 300 characters
12008,14,2,6,7,0,11,2,12,4,15,11,7,11,15,12,1,1,1,0,5,3,5,1,4,5,1,5,6,7,5,6,5,4,5,7,0,4,20,9,19,11,10,13,0,14,12,11,6,5,3,4,1,3,8,5,10,9,8,8,2,5,7,2,9,10,3,7,8,1,3,4,3,0,5,4,0,2,6,5,0,0,4,12,7,3,15,7,1,25,"$1,039.00",0.27,"$1,175.00","$2,082.00","1,407","1,069","8,497","9,308","8,829","1,894","$6,275.00","$10,713.00","$10,702.00","$11,868.00","$17,716.00","$9,368.00","$10,164.00","$5,794.00","$9,312.00","1,278",Comment text to 300 characters
22008,10,3,2,2,9,9,13,7,15,11,1,1,8,6,10,4,5,3,0,5,2,0,3,0,0,2,7,5,5,6,7,6,6,5,6,17,1,0,17,13,16,7,15,16,5,13,15,3,8,6,4,4,8,6,0,2,10,1,7,8,3,4,4,9,8,3,4,0,2,0,0,6,3,5,2,5,0,5,2,5,5,0,0,5,10,12,6,1,13,"$1,359.00",0.16,"$2,179.00","$1,335.00","1,610","1,535","4,552","5,354","1,974","9,947","$2,146.00","$4,120.00","$4,099.00","$15,355.00","$16,170.00",$107.00,"$18,379.00","$14,361.00","$14,648.00","5,923",Comment text to 300 characters
